event_id,station_id,phase_index,phase_time,phase_score,phase_type,phase_polarity
11_52113,A12W,9600,2009-12-02T02:25:42.844310,1,P,N
11_52113,A12W,9859,2009-12-02T02:25:49.340357,1,PS,N
11_52113,A14W,9600,2009-12-02T02:25:51.366640,1,P,N
11_52113,B01W,9600,2009-12-02T02:25:45.646110,1,P,N
11_52113,B02,9600,2009-12-02T02:25:45.009590,1,P,N
11_52113,B03,9600,2009-12-02T02:25:44.494790,1,P,N
11_52113,B04W,9600,2009-12-02T02:25:44.106310,1,P,N
11_52113,B05W,9600,2009-12-02T02:25:43.958600,1,P,N
11_52113,B06,9600,2009-12-02T02:25:44.059390,1,P,N
11_52113,B07W,9600,2009-12-02T02:25:44.014700,1,P,N
11_52113,B08,9600,2009-12-02T02:25:44.345620,1,P,N
11_52113,B09W,9600,2009-12-02T02:25:44.902200,1,P,N
11_52113,B12,9600,2009-12-02T02:25:47.458000,1,P,N
11_52113,B13,9600,2009-12-02T02:25:51.969820,1,P,N
11_52113,C01W,9600,2009-12-02T02:25:42.374950,1,P,N
11_52113,C03W,9600,2009-12-02T02:25:39.123920,1,P,N
11_52113,C05W,9600,2009-12-02T02:25:39.262100,1,P,N
11_52113,C06,9600,2009-12-02T02:25:38.499790,1,P,N
11_52113,C07W,9600,2009-12-02T02:25:42.130470,1,P,N
11_52113,C08W,9600,2009-12-02T02:25:40.481180,1,P,N
11_52113,C09W,9600,2009-12-02T02:25:39.238750,1,P,N
11_52113,C09W,10430,2009-12-02T02:26:00.000880,1,S,N
11_52113,C10W,9600,2009-12-02T02:25:38.723880,1,P,N
11_52113,C10W,10415,2009-12-02T02:25:59.120730,1,S,N
11_52113,C11W,9600,2009-12-02T02:25:38.484270,1,P,N
11_52113,C12,9600,2009-12-02T02:25:41.860430,1,P,N
11_52113,C13,9600,2009-12-02T02:25:39.993590,1,P,N
11_52113,C15,9600,2009-12-02T02:25:43.241040,1,P,N
11_52113,C16W,9600,2009-12-02T02:25:41.170310,1,P,N
11_52113,C17W,9600,2009-12-02T02:25:45.507990,1,P,N
11_52113,EUAP,9600,2009-12-02T02:25:42.800470,1,P,N
11_52113,EUAP,10503,2009-12-02T02:26:05.384960,1,S,N
11_52113,EUAP,9835,2009-12-02T02:25:48.676883,1,PS,N
11_52113,F02W,9600,2009-12-02T02:25:45.090800,1,P,N
11_52113,F02W,10668,2009-12-02T02:26:11.805240,1,S,N
11_52113,FONI,9600,2009-12-02T02:25:46.405080,1,P,N
11_52113,FONI,10605,2009-12-02T02:26:11.552740,1,S,N
11_52113,FONI,10003,2009-12-02T02:25:56.503785,1,PS,N
11_52113,N01W,9600,2009-12-02T02:25:51.896250,1,P,N
11_52113,NMKA,9600,2009-12-02T02:25:45.670920,1,P,N
11_52113,NMKA,10591,2009-12-02T02:26:10.462350,1,S,N
11_52113,NMKA,10070,2009-12-02T02:25:57.422911,1,PS,N
11_52113,PNGI,9600,2009-12-02T02:25:50.688590,1,P,N
11_52113,PNGI,10757,2009-12-02T02:26:19.623010,1,S,N
11_52113,PNGI,10062,2009-12-02T02:26:02.248398,1,PS,N
11_52113,S01W,9600,2009-12-02T02:25:42.037620,1,P,N
11_52113,TNGA,9600,2009-12-02T02:25:40.791010,1,P,N
11_52113,TNGA,10503,2009-12-02T02:26:03.389824,1,S,N
11_52113,TNGA,10078,2009-12-02T02:25:52.765318,1,PS,N
